elevatorAddress,unloadCapacity,lat,loadCapacity,odhiRegion,propertyTypeCategory,cert,transportTypes,shortName,propertyType,capacity,lng,fullName
"22850, вул. Набережна, буд. 51, с. Кароліна, Немирівський р-н., Вінницька обл.",540,48.9286111,620,Вінницька,Інші,5509,"train,autocar","Немирівський ККЗ, ТОВ",Приватний,12700,28.9601667,"Товариство з обмеженою відповідальністю ""Немирівський комбікормовий завод"""""
"35523, вул. 40-Річчя Перемоги 115в, с.Зарічне, Радивилівський район, Рівненська область",250,51.3278320,200,Рівненська,Інші,5510,autocar,"Агротехніка, ТзОВ",Приватний,0,28.8133440,"Товариство з обмеженою відповідальністю ""Агротехніка"""
"94700, вул. Вигонна, буд. 7, м. Ровеньки, Луганська обл.",670,48.0833333,740,Луганська,Інші,5511,"train,autocar","Слобода РКЗ, ТОВ",Приватний,34800,39.3666667,"Товариство з обмеженою відповідальністю ""Ровеньківський комбікормовий завод ""Слобода"""
"56525, вул. Кожедуба, буд. 103, с. Мартинівське, Вознесенський р-н., Миколаївська обл.",300,47.4725705,600,Миколаївська,Державні,5512,autocar,"Хлібна база № 76, ДП ДАРУ (с. Мартинівське)",ДАРУ,20100,31.2761384,"Державне підприємство ""Хлібна база № 76"" Державного агенства резерву України"
"15100, вул. Вокзальна, буд. 18, м. Городня, Чернігівська обл.",650,51.8905556,750,Чернігівська,Інші,5513,"train,autocar","Городнянське ХПП, ТОВ",Приватний,15000,31.5936111,"Товариство з обмеженою відповідальністю ""Городнянське хлібоприймальне підприємство"""
"19842, вул. Гоголя, буд. 15, с. Драбове-Барятинське, Драбівський р-н., Черкаська обл.",850,49.9450000,710,Черкаська,Інші,5515,"train,autocar","Шеколан, ТОВ",Приватний,12000,32.2905556,"Товариство з обмеженою відповідальністю ""Шеколан"""
"27410, вул. Леніна, буд. 1, с. Мошорине, Знам\'янський р-н., Кіровоградська обл.",10000,48.6196790,10000,Кіровоградська,Інші,5516,autocar,"Рос Агро, ТОВ",Приватний,20000,32.7138480,"Товариство з обмеженою відповідальністю ""РОС АГРО"""
"27200, вул. Промислова, буд. 1а, м. Бобринець, Кіровоградська обл.",300,48.0510670,500,Кіровоградська,Власники 6+,5517,autocar,"АФ Славутич, ПП",Кернелл,20000,32.1675690,"Приватне підприємство Агрофірма ""Славутич"""
"27030, вул. Гагаріна, буд. 56а, м. Помічна, Добровеличківський р-н., Кіровоградська обл.",800,48.2500000,800,Кіровоградська,Інші,5518,"train,autocar","Агромаркет ТК, ТОВ (м. Помічна)",Приватний,10000,31.4166667,"Товариство з обмеженою відповідальністю ""Торгова компанія ""Агромаркет"""
"28227, вул. Привокзальна, буд. 11, с. Куцівка, Новгородківський р-н., Кіровоградська обл.",800,48.3147222,800,Кіровоградська,Інші,5519,"train,autocar","Агромаркет ТК, ТОВ (с. Куцівка)",Приватний,2000,32.7908333,"Товариство з обмеженою відповідальністю ""Торгова компанія ""Агромаркет"""
"55604, вул. Жовтнева, буд. 27а, с. Шевченкове, Новобузький р-н., Миколаївська обл.",900,46.8614630,400,Миколаївська,Інші,5520,"train,autocar","Прометей-Елеватор, ТОВ (с. Шевченкове)",Приватний,16000,32.2021940,"Товариство з обмеженою відповідальністю ""Прометей-Елеватор"""
"56180, вул. Степаненка, буд. 68а, с. Лоцкине, Баштанський р-н., Миколаївська обл.",600,47.2027778,400,Миколаївська,Інші,5521,"train,autocar","Прометей-Елеватор, ТОВ (с. Лоцкине)",Приватний,18500,32.3841667,"Товариство з обмеженою відповідальністю ""Прометей-Елеватор"""
"52170, вул. П\'ятихатська, буд. 52, 52а, с. Красноіванівка, П\'ятихатський р-н., Дніпропетровська обл.",550,48.3558789,550,Дніпропетровська,Інші,5522,autocar,"Млин, ТОВ",Приватний,11000,33.7310076,"Товариство з обмеженою відповідальністю ""Млин"""
"53132, вул. Чкалова, буд. 5, с. Девладове, Софіївський р-н., Дніпропетровська обл.",3680,48.1029157,5000,Дніпропетровська,Власники 6+,5523,"train,autocar","Полтавське ХПП, ПрАТ (Девладівська дільниця)",Кернелл,61380,33.7559557,"Приватне акціонерне товариство ""Полтавське хлібоприймальне підприємство"""
